Date,BTC,Energy,GPR
2020/09/30,0.029168211,0.012015426,0.547998694
2020/10/01,0.028794746,0.012517024,0.550137934
2020/10/02,0.027593275,0.012578827,0.552922909
2020/10/03,0.019102807,0.012860836,0.572816539
2020/10/04,0.018636887,0.013113933,0.58135559
2020/10/05,0.017615946,0.01330513,0.57404412
2020/10/06,0.017888366,0.013262997,0.560012676
2020/10/07,0.017856805,0.013373373,0.468932172
2020/10/08,0.017687073,0.013457155,0.449892496
2020/10/09,0.017737148,0.013261478,0.448768342
2020/10/10,0.017972446,0.012635829,0.40268674
2020/10/11,0.017994086,0.01263384,0.405925921
2020/10/12,0.018124911,0.012631618,0.378553603
2020/10/13,0.018121051,0.012847562,0.370937624
2020/10/14,0.017177204,0.012855771,0.379255087
2020/10/15,0.017114981,0.012866473,0.395971613
2020/10/16,0.017177252,0.01211917,0.391450506
2020/10/17,0.017169178,0.01211536,0.429844488
2020/10/18,0.017257334,0.011931761,0.429487088
2020/10/19,0.017536011,0.011829791,0.429940408
2020/10/20,0.017416847,0.011822402,0.428078357
2020/10/21,0.019534608,0.011924236,0.432076807
2020/10/22,0.019549883,0.012786532,0.42348024
2020/10/23,0.018500762,0.011279992,0.424108995
2020/10/24,0.016838388,0.01138514,0.424049527
2020/10/25,0.016828116,0.011496935,0.428011471
2020/10/26,0.016837138,0.011558912,0.441004124
2020/10/27,0.018100719,0.011834393,0.440523355
2020/10/28,0.019126888,0.01355473,0.439100762
2020/10/29,0.0191264,0.013537629,0.439473045
2020/10/30,0.018975378,0.013622595,0.439881343
2020/10/31,0.018539669,0.013115158,0.544231971
2020/11/01,0.018518689,0.013264193,0.595712205
2020/11/02,0.018861005,0.013291268,0.576333695
2020/11/03,0.01923253,0.013321041,0.60052702
2020/11/04,0.019241671,0.013217213,0.601831922
2020/11/05,0.024498441,0.013197106,0.61141552
2020/11/06,0.024597488,0.013342532,0.611648709
2020/11/07,0.026887419,0.014188893,0.612579103
2020/11/08,0.027527512,0.015880421,0.610172499
2020/11/09,0.027720247,0.017212251,0.62655872
2020/11/10,0.027817416,0.018393849,0.633509973
2020/11/11,0.027970072,0.018403801,0.633765139
2020/11/12,0.028048153,0.019180781,0.643467212
2020/11/13,0.028019639,0.019427541,0.638889052
2020/11/14,0.02844236,0.019534474,0.633609551
2020/11/15,0.028219974,0.019514472,0.646373306
2020/11/16,0.028886015,0.019567163,0.620343369
2020/11/17,0.029845088,0.019497527,0.625576757
2020/11/18,0.029821747,0.01978519,0.634418598
2020/11/19,0.029917217,0.019792139,0.651365337
