Date,BTC,Energy,GPR
2020/09/23,-0.004634624,-0.005427238,-0.004539396
2020/09/24,-0.001826552,-0.005244581,-0.009390981
2020/09/25,-0.002392393,-0.004911543,-0.021554812
2020/09/26,-0.001729936,-0.004687697,-0.040586709
2020/09/27,-0.002292741,-0.004919545,-0.00108329
2020/09/28,-0.00239328,-0.004574839,0.027951889
2020/09/29,-0.002563359,-0.005152997,0.084281416
2020/09/30,-0.002661303,-0.005134723,0.005636964
2020/10/01,-0.003991869,-0.005730181,-0.011206341
2020/10/02,-0.002541959,-0.00556366,-0.002299544
2020/10/03,0.000974784,-0.00506921,-0.02507183
2020/10/04,0.000496576,-0.004570974,-0.008018305
2020/10/05,0.00198432,-0.004315717,0.005283955
2020/10/06,0.001034505,-0.004516936,0.036702181
2020/10/07,0.000948816,-0.004345548,-0.01952163
2020/10/08,0.002484993,-0.00211157,0.016827701
2020/10/09,0.002573571,-0.002568269,0.01815095
2020/10/10,0.002874184,-0.001797878,-0.031716628
2020/10/11,0.003011034,-0.001816633,-0.042404468
2020/10/12,0.003376573,-0.001836925,0.006543316
2020/10/13,0.003381167,-0.002325913,-0.003115248
2020/10/14,0.002258235,-0.002288007,-0.011486236
2020/10/15,0.002089293,-0.002428556,-0.00237398
2020/10/16,0.001038243,-0.003451254,0.013460219
2020/10/17,0.001222802,-0.003520635,-0.025759121
2020/10/18,0.001601803,-0.003161582,-0.018828046
2020/10/19,0.001891322,-0.002909905,0.024865942
2020/10/20,0.002854745,-0.002320676,0.01814511
2020/10/21,0.006783991,-0.00242733,0.010267455
2020/10/22,0.006909692,-0.001648319,0.002456894
2020/10/23,0.007758788,-0.000421925,0.001856096
2020/10/24,0.006579526,-0.000584524,0.000987239
2020/10/25,0.006592721,-0.000769887,-0.005458062
2020/10/26,0.00652493,-0.00129555,0.025339073
2020/10/27,0.007893163,-0.002049621,0.024762945
2020/10/28,0.007148576,-0.003543404,-0.008139016
2020/10/29,0.007146893,-0.002266631,-0.005322712
2020/10/30,0.007600692,-0.001907725,-0.008902093
2020/10/31,0.008686768,-0.00075067,-0.057576773
2020/11/01,0.0087172,-0.000454,-0.023828889
2020/11/02,0.008345346,-0.000419482,0.008094969
2020/11/03,0.008936803,-0.000381207,0.025973438
2020/11/04,0.008987775,-0.000594862,0.022024113
2020/11/05,0.012823624,-0.00039896,-0.006916227
2020/11/06,0.012591399,-0.001063552,-0.009327504
2020/11/07,0.010223482,-0.000753519,-0.033039246
2020/11/08,0.011192764,0.000652544,-0.019923071
2020/11/09,0.010182735,0.001915473,0.021026836
2020/11/10,0.009834441,0.003196782,0.011981132
2020/11/11,0.010219879,0.003157914,0.012295713
2020/11/12,0.011794336,0.002613186,-0.01300717
