Date,BTC,Energy,GPR,,,
2020/06/11,-0.244990656,2.227881048,0.682636503,,,
2020/06/12,-0.025378073,2.754343899,0.744695638,,,
2020/06/13,0.292583675,2.763522832,0.769167915,,,
2020/06/14,0.609585646,2.765150455,0.671789521,,,
2020/06/15,0.604082721,3.038770697,0.279409881,,,
2020/06/16,0.826184567,2.9245488,0.304179717,,,
2020/06/17,0.824972795,2.8738723,0.280117258,,,
2020/06/18,0.808114638,2.984687137,0.257048877,,,
2020/06/19,0.891372593,3.367405405,0.130620382,,,
2020/06/20,1.416004417,3.549396846,0.104359768,,,
2020/06/21,1.462571636,3.608551846,0.097832932,,,
2020/06/22,1.055960859,3.60885545,0.135717455,,,
2020/06/23,1.627654909,3.55085989,0.088333284,,,
2020/06/24,1.305050577,2.521898013,-0.314351465,,,
2020/06/25,1.320449211,2.775946404,-0.447728956,,,
2020/06/26,1.768435797,2.530878042,-0.667019288,,,
2020/06/27,2.244667104,2.645454032,-0.536459371,,,
2020/06/28,2.226452109,2.677548781,-0.357341379,,,
2020/06/29,2.605719258,2.692774633,-0.289736556,,,
2020/06/30,2.959035067,2.684621454,-0.384513742,,,
2020/07/01,3.508511719,2.665430561,-0.375712522,,,
2020/07/02,3.56726932,3.034053638,-0.200231596,,,
2020/07/03,3.82188555,3.497234172,-0.298502856,,,
2020/07/04,4.148466687,3.498589714,-0.176624299,,,
2020/07/05,4.420977773,5.275519698,-0.143252903,,,
2020/07/06,3.154078713,5.38878154,0.022567546,,,
2020/07/07,3.078997386,4.931520168,-0.046351475,,,
2020/07/08,2.656501914,5.036866391,-0.131734405,,,
2020/07/09,2.374948065,4.744481791,-0.151443422,,,
2020/07/10,2.441066368,5.548455787,-0.22736107,,,
2020/07/11,0.923368238,2.075788288,-0.246282724,,,
2020/07/12,1.231912656,2.404507239,-0.248575498,,,
2020/07/13,1.213750764,2.40426086,-0.449031697,,,
2020/07/14,1.340374558,1.674491806,-0.287307646,,,
2020/07/15,1.364482335,1.411768567,-0.056283122,,,
2020/07/16,1.424140745,1.958002019,-0.286483847,,,
2020/07/17,1.475390739,2.38144866,-0.178211495,,,
2020/07/18,1.55824305,2.361949835,-0.136905603,,,
2020/07/19,1.81840327,2.456809953,0.00150662,,,
2020/07/20,1.849364196,2.426372092,-0.179796434,,,
2020/07/21,1.274272183,1.783315267,-0.075270686,,,
2020/07/22,1.139172775,1.620438016,0.234170259,,,
2020/07/23,1.088041611,1.677894269,0.431022184,,,
2020/07/24,1.091105087,1.93106061,0.480020307,,,
2020/07/25,0.794679966,2.085915377,0.351956824,,,
2020/07/26,0.546683284,2.878693874,0.351024088,,,
2020/07/27,13.13922202,2.906905184,0.080515935,,,
2020/07/28,13.28137327,2.710765755,0.091877185,,,
2020/07/29,12.72713852,2.431200492,0.057476733,,,
2020/07/30,12.79466345,1.674006531,0.079571616,,,
2020/07/31,12.27524112,1.494359205,0.079912069,,,
2020/08/01,10.20134492,1.627284447,0.197824801,,,
2020/08/02,6.784153519,1.630529539,0.381072501,,,
2020/08/03,6.532817425,1.632762749,0.418985123,,,
2020/08/04,6.55890305,1.074354978,0.737631135,,,
2020/08/05,5.813169396,0.8898286,0.687887686,,,
2020/08/06,5.947841252,1.256307594,0.360824637,,,
2020/08/07,6.045426389,1.198512148,0.144439808,,,
2020/08/08,6.11715012,1.734523726,0.06624408,,,
2020/08/09,6.079414342,2.091357277,0.133765095,,,
2020/08/10,5.854455168,2.00506994,0.22969356,,,
2020/08/11,4.827920036,1.894246526,0.196052981,,,
2020/08/12,4.687048331,1.770024782,0.46367734,,,
2020/08/13,4.505457519,2.094125408,0.372604869,,,
2020/08/14,4.523164396,2.497904929,0.127064312,,,
2020/08/15,4.508570242,2.537281275,0.106562571,,,
2020/08/16,4.508060179,2.753276359,0.111483062,,,
2020/08/17,4.013755768,2.790721694,0.144722212,,,
2020/08/18,3.769275864,2.65096019,0.105946246,,,
2020/08/19,3.576995348,2.561628418,0.227656196,,,
2020/08/20,3.782408959,0.866565039,-0.032746385,,,
2020/08/21,3.616274317,1.021085427,-0.092290819,,,
2020/08/22,3.603481824,0.938480909,-0.236643559,,,
2020/08/23,3.613416663,0.834029494,-0.434383542,,,
2020/08/24,3.677060967,0.72393263,-0.425941109,,,
2020/08/25,3.377381041,0.556105967,-0.43822036,,,
2020/08/26,0.536490121,0.301358785,-0.378155976,,,
2020/08/27,0.470012321,0.47112895,-0.416331776,,,
2020/08/28,0.44229164,0.516492492,-0.540054034,,,
2020/08/29,0.438512137,-0.02078507,-0.523853873,,,
2020/08/30,0.455490189,0.239131437,0.045400722,,,
2020/08/31,0.878481514,0.20140641,1.353256735,,,
2020/09/01,-0.076071899,0.132447969,1.338645318,,,
2020/09/02,0.007578544,0.116272722,1.459529321,,,
2020/09/03,4.592416038,-0.905357039,1.459056311,,,
2020/09/04,5.404201559,-0.836206937,1.525201204,,,
2020/09/05,4.724716867,-0.751675273,1.977726654,,,
2020/09/06,4.797000625,-0.648450739,2.16712686,,,
2020/09/07,4.858574437,-0.536187185,1.512066734,,,
2020/09/08,4.55758451,2.638346751,1.321007978,,,
2020/09/09,4.664698523,2.519970968,1.260899419,,,
2020/09/10,5.541910337,1.848528116,0.901590363,,,
2020/09/11,5.704106847,2.073743785,0.906377314,,,
2020/09/12,5.91554103,2.863756692,0.673561222,,,
2020/09/13,5.814518748,2.864303036,0.765908843,,,
2020/09/14,5.087764786,2.870126338,0.875738159,,,
2020/09/15,5.012032772,2.871151784,0.794323555,,,
2020/09/16,5.416188656,1.993089251,0.75324318,,,
2020/09/17,5.755364228,2.231533428,0.761973271,,,
2020/09/18,6.053828584,1.936815371,0.873885203,,,
2020/09/19,5.988863728,2.208971636,1.020976934,,,
2020/09/20,6.296242672,2.069429841,1.036514373,,,
2020/09/21,5.059725507,1.919572058,1.449186803,,,
2020/09/22,5.025605483,2.086077538,1.566922283,,,
2020/09/23,4.601605128,1.722959481,1.947031125,,,
2020/09/24,4.126427561,1.87913071,1.965940944,,,
2020/09/25,4.167822929,2.229722546,1.975697933,,,
2020/09/26,4.267930758,2.165097182,1.982453633,,,
2020/09/27,4.473612534,2.421339097,2.230270865,,,
2020/09/28,4.457102803,2.406590588,2.146354144,,,
2020/09/29,4.546193009,1.728497288,3.210108981,,,
2020/09/30,4.531657245,1.737896109,1.449288695,,,
2020/10/01,4.740638393,1.184114598,1.381482096,,,
2020/10/02,6.072220539,1.201315264,1.300238878,,,
2020/10/03,0.693113028,1.131339195,0.875561696,,,
2020/10/04,0.968933693,1.068267433,0.688456675,,,
2020/10/05,1.424437983,0.962868953,0.859039519,,,
2020/10/06,1.27044802,0.934452174,1.1411492,,,
2020/10/07,1.303873761,0.881896959,-0.08159851,,,
2020/10/08,1.313211255,0.570318851,0.135152328,,,
2020/10/09,1.260134736,0.678540028,0.159071126,,,
2020/10/10,1.058565986,1.182157146,-0.26550738,,,
2020/10/11,1.020499586,1.181138776,-0.364420972,,,
2020/10/12,0.86875251,1.180085592,-0.826558447,,,
2020/10/13,0.870956308,0.87533684,-0.706355894,,,
2020/10/14,1.438138405,0.873972292,-0.808837846,,,
2020/10/15,1.51983804,0.831750108,-0.632702821,,,
2020/10/16,1.551107364,1.180168209,-0.547206517,,,
2020/10/17,1.54639508,1.159124616,-0.354173043,,,
2020/10/18,1.427620673,1.472805649,-0.336679369,,,
2020/10/19,1.205364741,1.689416491,-0.338554985,,,
2020/10/20,1.19264828,1.880706647,-0.286628816,,,
2020/10/21,4.068938501,1.738873091,-0.368994572,,,
2020/10/22,3.993566239,1.120074336,-0.254387879,,,
2020/10/23,4.823142652,1.1779193,-0.264378755,,,
2020/10/24,6.991565694,1.035292512,-0.262769625,,,
2020/10/25,7.001560013,0.886257796,-0.347927512,,,
2020/10/26,7.038986437,0.760587202,-0.501191957,,,
2020/10/27,4.823155554,0.448983747,-0.493121904,,,
2020/10/28,3.993118318,1.064403237,-0.47035066,,,
2020/10/29,3.994491986,1.244596403,-0.477817027,,,
2020/10/30,3.956251149,1.212000226,-0.488398447,,,
2020/10/31,3.898003735,1.661812788,2.060872668,,,
2020/11/01,3.905482592,1.487897569,1.414859498,,,
2020/11/02,3.712561361,1.45728801,1.90015838,,,
2020/11/03,3.120683203,1.42380986,1.461244553,,,
2020/11/04,3.0877293,1.545676072,1.428221311,,,
2020/11/05,4.521321081,1.583364709,1.204394999,,,
2020/11/06,4.545566135,1.372945436,1.197105594,,,
2020/11/07,3.725648458,1.915477469,1.152753416,,,
2020/11/08,3.04711226,1.37103602,1.231637138,,,
2020/11/09,3.201367177,0.848652123,0.923835817,,,
2020/11/10,3.226999345,0.434993348,0.784509707,,,
2020/11/11,3.018091284,0.432818527,0.779371954,,,
2020/11/12,2.577283073,0.202061412,0.586267108,,,
2020/11/13,2.574651254,0.021797699,0.678884378,,,
2020/11/14,2.49328732,-0.105131452,0.736713824,,,
2020/11/15,2.565111221,-0.192760635,0.512610096,,,
2020/11/16,1.937933651,-0.304470849,0.919874455,,,
2020/11/17,1.360115988,-0.33886491,0.80243664,,,
2020/11/18,1.468620446,-0.415584547,0.680178862,,,
